order_id,customer_id,product_id,product_category,quantity,unit_price,discount_pct,customer_age,customer_income,num_dependents,is_returned,order_date
1,103,22,Toys,3,415.08,0.03,59,52462.0,0,0,2023-12-25
2,180,39,Food,8,44.69,0.25,35,34010.0,0,0,2023-08-16
3,93,2,Books,14,241.04,0.06,32,16363.0,2,0,2023-10-20
4,15,38,Clothing,7,316.9,0.12,45,48491.0,2,0,2023-02-21
5,107,39,Books,7,415.18,0.09,50,23928.0,2,1,2023-08-28
6,72,26,Electronics,1,392.82,0.12,58,60467.0,3,0,2023-04-09
7,189,46,Electronics,17,142.15,0.05,67,53498.0,1,0,2023-03-22
8,21,50,Books,9,470.74,0.15,42,36245.0,2,0,2023-01-13
9,103,15,Toys,13,66.55,0.24,67,122121.0,1,0,2023-12-23
10,122,34,Electronics,19,438.19,0.13,31,26380.0,1,0,2023-05-08
11,75,42,Electronics,19,485.62,0.15,33,35876.0,0,0,2023-10-31
12,88,44,Books,17,92.69,0.25,37,27991.0,4,0,2023-01-11
13,117,49,Electronics,10,362.42,0.21,46,136034.0,4,0,2023-03-22
14,100,40,Toys,10,24.94,0.15,47,96387.0,3,1,2023-09-18
15,104,11,Toys,4,205.68,0.08,37,24075.0,3,0,2023-01-06
16,152,3,Toys,8,260.56,0.27,35,32442.0,4,0,2023-08-10
17,131,6,Clothing,18,292.42,0.17,35,32997.0,4,0,2023-10-25
18,150,9,Toys,14,468.29,0.07,32,37221.0,0,0,2023-03-22
19,53,6,Toys,18,337.76,0.08,48,29103.0,0,0,2023-01-03
20,2,9,Clothing,14,243.23,0.24,28,36211.0,4,0,2023-03-01
21,88,39,Food,15,405.79,0.01,45,81019.0,2,0,2023-08-09
22,158,31,Electronics,4,475.51,0.3,47,129762.0,2,0,2023-12-15
23,38,32,Toys,13,15.92,0.04,60,22647.0,0,0,2023-02-18
24,130,41,Electronics,8,491.35,0.24,32,29128.0,1,0,2023-08-16
25,192,50,Books,18,47.64,0.12,55,54545.0,4,0,2023-10-17
26,188,12,Electronics,12,408.12,0.15,28,22244.0,3,0,2023-10-20
27,21,8,Clothing,14,143.77,0.26,66,55255.0,2,0,2023-10-25
28,161,8,Electronics,2,70.43,0.12,33,64219.0,1,1,2023-07-12
29,58,50,Electronics,18,222.73,0.16,31,69587.0,2,0,2023-09-14
30,22,28,Electronics,2,323.76,0.01,51,63327.0,1,0,2023-04-13
31,89,20,Food,11,193.57,0.0,57,37510.0,4,0,2023-05-26
32,49,47,Food,9,32.01,0.07,22,44764.0,4,1,2023-10-17
33,59,7,Books,12,301.73,0.2,35,27180.0,4,0,2023-09-14
34,170,11,Clothing,17,451.69,0.04,39,61832.0,0,0,2023-11-05
35,188,20,Electronics,15,194.69,0.03,51,109281.0,1,1,2023-10-05
36,15,16,Electronics,17,112.08,0.12,42,61766.0,3,0,2023-07-08
37,190,4,Electronics,18,224.08,0.19,36,34631.0,3,0,2023-06-27
38,190,6,Electronics,6,28.94,0.21,35,80611.0,4,0,2023-01-16
39,175,22,Food,17,411.14,0.05,57,159983.0,3,0,2023-03-27
40,190,26,Books,18,414.04,0.02,27,55358.0,2,0,2023-09-05
41,51,3,Toys,8,296.06,0.28,38,64682.0,1,0,2023-08-05
42,108,41,Clothing,9,179.79,0.08,49,68793.0,1,0,2023-02-11
43,55,42,Electronics,6,400.89,0.26,53,21977.0,1,0,2023-07-13
44,64,14,Books,5,279.57,0.26,33,39912.0,2,0,2023-11-23
45,131,11,Toys,12,413.84,0.23,41,37914.0,0,0,2023-06-12
46,51,18,Books,11,317.57,0.05,63,74417.0,2,0,2023-10-03
47,135,12,Food,1,393.28,0.25,36,70206.0,1,0,2023-12-30
48,21,23,Toys,11,301.29,0.23,34,46149.0,1,0,2023-05-10
49,73,12,Books,19,210.0,0.18,69,36793.0,1,0,2023-09-20
50,167,13,Food,9,479.18,0.1,67,21093.0,3,0,2023-06-26
51,18,25,Books,2,272.85,0.08,51,48644.0,0,0,2023-09-22
52,132,45,Books,12,304.52,0.04,32,30416.0,2,0,2023-01-27
53,89,19,Toys,4,114.14,0.15,40,28588.0,1,0,2023-03-26
54,60,46,Food,4,314.7,0.18,68,77896.0,4,0,2023-07-15
55,14,36,Electronics,18,287.95,0.11,59,73936.0,0,0,2023-11-12
56,9,45,Clothing,15,96.5,0.14,52,38396.0,4,0,2023-08-31
57,90,8,Toys,19,34.5,0.11,46,22370.0,0,0,2023-12-08
58,53,29,Food,13,304.16,0.19,54,32438.0,1,0,2023-06-26
59,130,32,Books,19,383.03,0.27,35,80549.0,0,0,2023-05-10
60,84,44,Food,17,264.08,0.05,47,61936.0,0,0,2023-05-25
61,92,18,Clothing,6,117.25,0.11,53,38719.0,1,0,2023-03-24
62,111,6,Clothing,16,334.93,0.04,66,50482.0,4,0,2023-12-26
63,188,18,Electronics,12,44.65,0.19,20,17372.0,4,0,2023-03-29
64,199,19,Electronics,19,223.71,0.22,60,16726.0,3,0,2023-01-20
65,172,22,Clothing,5,85.87,0.28,67,131737.0,4,0,2023-08-18
66,8,37,Toys,17,96.31,0.08,50,63150.0,4,0,2023-05-06
67,175,32,Toys,1,105.14,0.29,55,49062.0,0,0,2023-12-20
68,35,41,Books,10,196.42,0.02,63,40196.0,3,0,2023-02-20
69,81,3,Electronics,15,30.32,0.18,52,20314.0,1,0,2023-03-29
70,164,28,Books,11,201.91,0.02,52,80548.0,1,0,2023-06-19
71,50,10,Electronics,13,258.3,0.27,58,27766.0,2,0,2023-03-04
72,104,35,Clothing,5,244.23,0.16,37,69709.0,3,0,2023-03-30
73,132,29,Toys,1,194.48,0.2,42,52365.0,0,0,2023-07-08
74,2,15,Toys,12,420.38,0.25,42,47760.0,2,0,2023-07-09
75,134,33,Clothing,11,76.94,0.05,34,25561.0,2,0,2023-03-30
76,54,7,Books,17,255.32,0.01,45,25732.0,1,0,2023-12-14
77,106,12,Books,4,35.71,0.26,49,59574.0,4,0,2023-11-28
78,4,49,Food,15,40.22,0.09,44,51001.0,0,0,2023-01-26
79,54,30,Electronics,9,289.06,0.04,64,50191.0,3,1,2023-06-25
80,191,21,Books,19,285.18,0.14,35,56558.0,2,0,2023-12-30
81,146,31,Clothing,19,439.63,0.18,58,18613.0,0,0,2023-09-21
82,44,24,Books,12,281.15,0.01,67,81436.0,1,0,2023-02-11
83,162,20,Toys,5,480.1,0.08,64,41030.0,2,0,2023-04-29
84,190,37,Electronics,10,29.1,0.01,33,87976.0,2,0,2023-06-18
85,14,4,Food,17,53.51,0.13,36,17959.0,1,0,2023-04-18
86,95,28,Electronics,5,26.81,0.27,31,65154.0,1,0,2023-05-27
87,48,44,Toys,16,96.71,0.29,48,64847.0,1,0,2023-06-25
88,15,20,Toys,7,272.93,0.19,51,23317.0,0,1,2023-07-08
89,200,24,Toys,9,324.56,0.05,43,35610.0,0,0,2023-06-09
90,190,50,Toys,3,27.56,0.27,32,28861.0,0,0,2023-10-29
91,40,49,Clothing,15,473.26,0.15,39,75479.0,4,0,2023-12-14
92,82,32,Food,16,421.87,0.05,34,57208.0,2,0,2023-03-15
93,111,41,Toys,18,151.82,0.28,23,109035.0,0,0,2023-12-18
94,53,36,Toys,14,43.21,0.23,53,54256.0,4,0,2023-01-18
95,24,34,Books,3,89.09,0.22,47,70694.0,2,0,2023-05-20
96,154,36,Food,12,67.84,0.21,69,88080.0,0,0,2023-04-25
97,188,2,Electronics,9,66.03,0.06,21,64680.0,1,1,2023-11-24
98,124,15,Food,7,261.69,0.06,66,40453.0,3,1,2023-08-13
99,41,34,Food,9,126.69,0.21,49,36859.0,0,0,2023-02-15
100,157,36,Food,13,182.28,0.07,45,47105.0,3,0,2023-02-07
101,15,6,Toys,18,494.81,0.13,66,73006.0,0,1,2023-07-25
102,45,39,Toys,5,343.74,0.23,45,33421.0,1,0,2023-01-09
103,65,42,Clothing,13,474.75,0.24,39,67919.0,3,0,2023-09-10
104,89,12,Electronics,4,75.57,0.14,61,57602.0,4,0,2023-04-18
105,71,3,Books,2,194.16,0.24,47,26196.0,1,0,2023-04-08
106,9,45,Food,16,279.59,0.25,39,66288.0,3,0,2023-10-02
107,88,18,Electronics,9,43.0,0.2,30,52626.0,3,0,2023-03-12
108,129,40,Electronics,9,7.07,0.07,29,37225.0,1,0,2023-02-08
109,136,21,Clothing,6,336.86,0.08,42,52246.0,1,1,2023-10-25
110,63,15,Books,11,322.7,0.09,56,37956.0,1,0,2023-03-31
111,139,33,Food,1,208.34,0.04,60,55483.0,2,0,2023-08-07
112,81,35,Books,4,247.37,0.08,38,45072.0,4,0,2023-04-17
113,136,26,Clothing,13,210.64,0.06,64,22812.0,0,1,2023-04-06
114,163,8,Toys,13,16.88,0.14,37,45752.0,3,0,2023-02-01
115,163,36,Electronics,13,171.01,0.27,68,39287.0,0,0,2023-05-06
116,33,48,Food,2,92.66,0.03,46,67359.0,1,1,2023-05-27
117,123,30,Toys,9,53.72,0.22,25,76106.0,4,0,2023-10-07
118,5,23,Clothing,8,478.58,0.21,29,38006.0,4,0,2023-01-24
119,41,42,Books,7,301.68,0.03,21,33034.0,2,1,2023-07-28
120,28,44,Electronics,4,365.68,0.28,43,21161.0,1,0,2023-04-30
121,135,14,Food,18,161.11,0.17,57,32630.0,3,0,2023-10-01
122,72,14,Toys,3,199.61,0.11,47,41705.0,2,0,2023-05-20
123,12,2,Toys,6,122.28,0.23,47,25094.0,1,0,2023-10-24
124,162,37,Electronics,12,53.0,0.08,64,76617.0,2,0,2023-12-09
125,33,5,Books,12,93.62,0.21,69,55887.0,0,0,2023-03-23
126,48,38,Clothing,8,399.77,0.01,58,46156.0,1,0,2023-07-27
127,151,45,Books,1,340.39,0.25,21,48614.0,3,0,2023-02-02
128,62,41,Books,4,275.73,0.13,65,57126.0,3,0,2023-01-24
129,37,47,Books,11,240.17,0.19,24,67275.0,1,0,2023-03-02
130,99,14,Electronics,3,461.6,0.07,69,73461.0,2,0,2023-11-07
131,172,39,Electronics,13,41.0,0.2,30,42000.0,4,0,2023-07-08
